"","DJF","JFM","FMA","MAM","AMJ","MJJ","JJA","JAS","ASO","SON","OND","NDJ","season","enso"
"1",0.4,0.3,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.7,"2005","El Niño"
"2",0.6,0.6,0.4,0.4,0.3,0.1,-0.1,-0.1,-0.1,-0.3,-0.6,-0.8,"2006","Neutral"
"3",-0.9,-0.8,-0.6,-0.4,-0.1,0,0.1,0.3,0.5,0.8,0.9,0.9,"2007","El Niño"
"4",0.7,0.2,-0.1,-0.3,-0.4,-0.5,-0.6,-0.8,-1.1,-1.3,-1.5,-1.6,"2008","La Niña"
"5",-1.6,-1.5,-1.3,-1,-0.8,-0.6,-0.4,-0.2,-0.2,-0.4,-0.6,-0.7,"2009","Neutral"
"6",-0.8,-0.8,-0.6,-0.3,0,0.3,0.5,0.6,0.7,1,1.4,1.6,"2010","El Niño"
"7",1.5,1.2,0.8,0.4,-0.2,-0.7,-1,-1.3,-1.6,-1.6,-1.6,-1.6,"2011","La Niña"
"8",-1.4,-1.2,-0.9,-0.7,-0.6,-0.4,-0.5,-0.6,-0.8,-1,-1.1,-1,"2012","La Niña"
"9",-0.9,-0.7,-0.6,-0.5,-0.3,0,0.2,0.4,0.4,0.3,0.1,-0.2,"2013","Neutral"
"10",-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.3,"2014","Neutral"
"11",-0.4,-0.5,-0.3,0,0.2,0.2,0,0.1,0.2,0.5,0.6,0.7,"2015","Neutral"
"12",0.5,0.5,0.5,0.7,0.9,1.2,1.5,1.9,2.2,2.4,2.6,2.6,"2016","El Niño"
"13",2.5,2.1,1.6,0.9,0.4,-0.1,-0.4,-0.5,-0.6,-0.7,-0.7,-0.6,"2017","Neutral"
"14",-0.3,-0.2,0.1,0.2,0.3,0.3,0.1,-0.1,-0.4,-0.7,-0.8,-1,"2018","La Niña"
"15",-0.9,-0.9,-0.7,-0.5,-0.2,0,0.1,0.2,0.5,0.8,0.9,0.8,"2019","El Niño"
"16",0.7,0.7,0.7,0.7,0.5,0.5,0.3,0.1,0.2,0.3,0.5,0.5,"2020","Neutral"
"17",0.5,0.5,0.4,0.2,-0.1,-0.3,-0.4,-0.6,-0.9,-1.2,-1.3,-1.2,"2021","La Niña"
