"","start_date","season","state","location","date_report","Phen_state","month","days","lat","lon","Phen_state_int","start_season","days_sep15","week","region"
"1",2004-09-07,"2005","PR","Bandeirantes",2005-01-03,"R6","Jan",118,-23.11,-50.368,11,2004-09-15,110,17,"South"
"2",2004-09-07,"2005","PR","Cafelândia",2004-12-20,"R5","Dec",104,-24.618,-53.32,10,2004-09-15,96,14,"South"
"3",2004-09-07,"2005","PR","Cambará",2005-01-07,"R5","Jan",122,-23.046,-50.074,10,2004-09-15,114,17,"South"
"4",2004-09-07,"2005","PR","Capanema",2004-12-17,"R5","Dec",101,-25.672,-53.809,10,2004-09-15,93,14,"South"
"5",2004-09-07,"2005","PR","Formosa do Oeste",2004-12-13,"R5","Dec",97,-24.293,-53.313,10,2004-09-15,89,13,"South"
"6",2004-09-07,"2005","PR","Iporã",2005-01-07,"R5","Jan",122,-24.003,-53.704,10,2004-09-15,114,17,"South"
"7",2004-09-07,"2005","PR","Laranjeiras do Sul",2005-01-14,"R5","Jan",129,-25.408,-52.416,10,2004-09-15,121,18,"South"
"8",2004-09-07,"2005","PR","Matelândia",2005-01-07,"R5","Jan",122,-25.241,-53.996,10,2004-09-15,114,17,"South"
"9",2004-09-07,"2005","PR","Nova Santa Bárbara",2005-01-03,"R4","Jan",118,-23.597,-50.724,9,2004-09-15,110,17,"South"
"10",2004-09-07,"2005","PR","Pérola",2004-12-15,"R5","Dec",99,-23.805,-53.684,10,2004-09-15,91,13,"South"
"11",2004-09-07,"2005","PR","Sertaneja",2005-01-03,"R5","Jan",118,-23.037,-50.838,10,2004-09-15,110,17,"South"
"12",2004-09-07,"2005","PR","Três Barras do Paraná",2004-11-18,"R3","Nov",72,-25.419,-53.181,8,2004-09-15,64,10,"South"
"13",2004-09-07,"2005","RS","Joia",2005-02-01,"R5","Feb",147,-28.647,-54.122,10,2004-09-15,139,21,"South"
"14",2004-09-07,"2005","RS","Santo Augusto",2005-01-17,"R5","Jan",132,-27.851,-53.777,10,2004-09-15,124,19,"South"
"15",2004-09-07,"2005","SC","Faxinal dos Guedes",2005-02-17,"R5","Feb",163,-26.853,-52.26,10,2004-09-15,155,23,"South"
"16",2004-10-07,"2005","PR","Abatiá",2005-02-01,"R5","Feb",117,-23.304,-50.313,10,2004-09-15,139,21,"South"
"17",2004-10-07,"2005","PR","Arapuã",2005-01-14,"R5","Jan",99,-24.316,-51.787,10,2004-09-15,121,18,"South"
"18",2004-10-07,"2005","PR","Balsa Nova",2004-12-29,"Vn","Dec",83,-25.584,-49.636,5,2004-09-15,105,15,"South"
"19",2004-10-07,"2005","PR","Barbosa Ferraz",2005-01-26,"R4","Jan",111,-24.03,-52.012,9,2004-09-15,133,20,"South"
"20",2004-10-07,"2005","PR","Borrazópolis",2005-01-04,"R1","Jan",89,-23.941,-51.588,6,2004-09-15,111,17,"South"
"21",2004-10-07,"2005","PR","Cambira",2005-01-11,"R4","Jan",96,-23.583,-51.578,9,2004-09-15,118,18,"South"
"22",2004-10-07,"2005","PR","Campo do Tenente",2005-01-14,"R2","Jan",99,-25.978,-49.683,7,2004-09-15,121,18,"South"
"23",2004-10-07,"2005","PR","Colorado",2005-02-21,"R5","Feb",137,-22.838,-51.973,10,2004-09-15,159,24,"South"
"24",2004-10-07,"2005","PR","Congonhinhas",2005-01-06,"R4","Jan",91,-23.551,-50.554,9,2004-09-15,113,17,"South"
"25",2004-10-07,"2005","PR","Cornélio Procópio",2004-12-30,"R2","Dec",84,-23.181,-50.647,7,2004-09-15,106,16,"South"
"26",2004-10-07,"2005","PR","Coronel Domingos Soares",2005-01-17,"R1","Jan",102,-26.228,-52.032,6,2004-09-15,124,19,"South"
"27",2004-10-07,"2005","PR","Entre Rios do Oeste",2005-01-06,"R3","Jan",91,-24.704,-54.234,8,2004-09-15,113,17,"South"
"28",2004-10-07,"2005","PR","Ibaiti",2004-12-28,"R5","Dec",82,-23.849,-50.188,10,2004-09-15,104,15,"South"
"29",2004-10-07,"2005","PR","Irati",2005-02-22,"R5","Feb",138,-25.467,-50.651,10,2004-09-15,160,24,"South"
"30",2004-10-07,"2005","PR","Jaguariaíva",2004-12-14,"R1","Dec",68,-24.251,-49.706,6,2004-09-15,90,13,"South"
"31",2004-10-07,"2005","PR","Jandaia do Sul",2005-01-07,"R5","Jan",92,-23.603,-51.643,10,2004-09-15,114,17,"South"
"32",2004-10-07,"2005","PR","Jesuítas",2005-01-24,"R5","Jan",109,-24.385,-53.388,10,2004-09-15,131,20,"South"
"33",2004-10-07,"2005","PR","Kaloré",2005-01-12,"R5","Jan",97,-23.817,-51.668,10,2004-09-15,119,18,"South"
"34",2004-10-07,"2005","PR","Lunardelli",2005-01-26,"R4","Jan",111,-24.079,-51.738,9,2004-09-15,133,20,"South"
"35",2004-10-07,"2005","PR","Mandaguari",2005-01-07,"R3","Jan",92,-23.548,-51.671,8,2004-09-15,114,17,"South"
"36",2004-10-07,"2005","PR","Marechal Cândido Rondon",2005-01-06,"R5","Jan",91,-24.556,-54.057,10,2004-09-15,113,17,"South"
"37",2004-10-07,"2005","PR","Marumbi",2005-01-06,"R4","Jan",91,-23.706,-51.639,9,2004-09-15,113,17,"South"
"38",2004-10-07,"2005","PR","Mercedes",2005-01-18,"R5","Jan",103,-24.454,-54.162,10,2004-09-15,125,19,"South"
"39",2004-10-07,"2005","PR","Nova Santa Rosa",2005-01-20,"R5","Jan",105,-24.466,-53.953,10,2004-09-15,127,19,"South"
"40",2004-10-07,"2005","PR","Ortigueira",2004-12-27,"R4","Dec",81,-24.208,-50.949,9,2004-09-15,103,15,"South"
"41",2004-10-07,"2005","PR","Pato Bragado",2005-01-12,"R5","Jan",97,-24.626,-54.225,10,2004-09-15,119,18,"South"
"42",2004-10-07,"2005","PR","Porto Amazonas",2005-02-01,"R4","Feb",117,-25.545,-49.89,9,2004-09-15,139,21,"South"
"43",2004-10-07,"2005","PR","Quatro Pontes",2005-01-11,"R3","Jan",96,-24.575,-53.977,8,2004-09-15,118,18,"South"
"44",2004-10-07,"2005","PR","Ribeirão do Pinhal",2005-02-01,"R5","Feb",117,-23.408,-50.357,10,2004-09-15,139,21,"South"
"45",2004-10-07,"2005","PR","Sabáudia",2005-01-27,"R3","Jan",112,-23.318,-51.553,8,2004-09-15,134,20,"South"
"46",2004-10-07,"2005","PR","Santa Cecília do Pavão",2005-01-20,"R2","Jan",105,-23.517,-50.784,7,2004-09-15,127,19,"South"
"47",2004-10-07,"2005","PR","Santa Mariana",2005-01-17,"R5","Jan",102,-23.151,-50.519,10,2004-09-15,124,19,"South"
"48",2004-10-07,"2005","PR","Santa Terezinha de Itaipu",2005-01-20,"R5","Jan",105,-25.447,-54.401,10,2004-09-15,127,19,"South"
"49",2004-10-07,"2005","PR","Santo Antônio da Platina",2005-01-13,"R5","Jan",98,-23.295,-50.077,10,2004-09-15,120,18,"South"
"50",2004-10-07,"2005","PR","Teixeira Soares",2005-01-04,"Vn","Jan",89,-25.368,-50.461,5,2004-09-15,111,17,"South"
"51",2004-10-07,"2005","PR","Toledo",2005-01-22,"R5","Jan",107,-24.714,-53.743,10,2004-09-15,129,20,"South"
